year,sex,status,value,obs_flag,isced11_code,isced11_desc,iscedf13_code,iscedf13_desc,macro_area
2016,Female,Enrolled,151992.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2017,Female,Enrolled,155902.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2018,Female,Enrolled,161749.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2019,Female,Enrolled,165707.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2020,Female,Enrolled,170115.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2021,Female,Enrolled,173433.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2022,Female,Enrolled,174384.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2023,Female,Enrolled,176047.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2013,Male,Enrolled,60956.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2014,Male,Enrolled,62975.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2015,Male,Enrolled,67303.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2016,Male,Enrolled,68853.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2017,Male,Enrolled,71887.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2018,Male,Enrolled,74602.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2019,Male,Enrolled,76159.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2020,Male,Enrolled,78116.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2021,Male,Enrolled,80199.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2022,Male,Enrolled,80841.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2023,Male,Enrolled,82393.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2013,Female,Enrolled,50752.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2014,Female,Enrolled,49400.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2015,Female,Enrolled,43992.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2016,Female,Enrolled,46202.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2017,Female,Enrolled,46670.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2018,Female,Enrolled,49658.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2019,Female,Enrolled,52927.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2020,Female,Enrolled,56037.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2021,Female,Enrolled,62838.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2022,Female,Enrolled,65551.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2023,Female,Enrolled,66511.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2013,Male,Enrolled,18951.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2014,Male,Enrolled,18809.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2015,Male,Enrolled,17851.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2016,Male,Enrolled,19133.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2017,Male,Enrolled,20125.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2018,Male,Enrolled,21564.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2019,Male,Enrolled,23200.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2020,Male,Enrolled,24895.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2021,Male,Enrolled,27592.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2022,Male,Enrolled,28446.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2023,Male,Enrolled,28846.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2013,Female,Enrolled,2522.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2014,Female,Enrolled,2308.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2015,Female,Enrolled,2316.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2016,Female,Enrolled,2150.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2017,Female,Enrolled,1961.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2018,Female,Enrolled,2011.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2019,Female,Enrolled,1778.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2020,Female,Enrolled,1818.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2021,Female,Enrolled,1919.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2022,Female,Enrolled,2131.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2023,Female,Enrolled,2438.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2013,Male,Enrolled,1771.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2014,Male,Enrolled,1620.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2015,Male,Enrolled,1613.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2016,Male,Enrolled,1497.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2017,Male,Enrolled,1386.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2018,Male,Enrolled,1412.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2019,Male,Enrolled,1358.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2020,Male,Enrolled,1396.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2021,Male,Enrolled,1496.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2022,Male,Enrolled,1611.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2023,Male,Enrolled,1773.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2013,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2016,Female,Enrolled,394.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2017,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2018,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2019,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2020,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2021,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2022,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2023,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2013,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2016,Male,Enrolled,228.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2017,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2018,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2019,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2020,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2021,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2022,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2023,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
