year,sex,enrolled,obs_flag,isced11_code,isced11_desc,iscedf13_code,iscedf13_desc,macro_area
2021,Male,1496.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2022,Male,1611.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2023,Male,1773.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2013,Female,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2016,Female,394.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2017,Female,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2018,Female,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2019,Female,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2020,Female,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2021,Female,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2022,Female,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2023,Female,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2013,Male,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2016,Male,228.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2017,Male,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2018,Male,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2019,Male,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2020,Male,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2021,Male,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2022,Male,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2023,Male,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2013,Female,105713.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2014,Female,102807.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2015,Female,113248.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2016,Female,106061.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2017,Female,106408.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2018,Female,106261.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2019,Female,110859.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2020,Female,115852.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2021,Female,125004.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2022,Female,131139.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2023,Female,142569.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2013,Male,70833.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2014,Male,70069.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2015,Male,77374.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2016,Male,54494.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2017,Male,55744.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2018,Male,77563.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2019,Male,79500.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2020,Male,80134.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2021,Male,83635.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2022,Male,83228.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2023,Male,86044.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2013,Female,38385.0,,ED7,Master's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2014,Female,37285.0,,ED7,Master's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2015,Female,39300.0,,ED7,Master's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2016,Female,40121.0,,ED7,Master's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2017,Female,39527.0,,ED7,Master's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2018,Female,41346.0,,ED7,Master's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2019,Female,45160.0,,ED7,Master's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2020,Female,48640.0,,ED7,Master's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2021,Female,53859.0,,ED7,Master's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2022,Female,56048.0,,ED7,Master's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2023,Female,56443.0,,ED7,Master's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2013,Male,18197.0,,ED7,Master's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
